"date","grid","treatment","transect","genus","species","damage","percent"
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",20
"8/28/24","N2","control","N2_A","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",5
"8/28/24","N2","control","N2_A","vachellia","etbaica","lb",40
"8/28/24","N2","control","N2_A","vachellia","etbaica","ba",30
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",2
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",1
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",10
"8/28/24","N2","control","N2_A","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_A","vachellia","melifera","sb",1
"8/28/24","N2","control","N2_A","vachellia","etbaica","sb",2
"8/28/24","N2","control","N2_A","vachellia","melifera","sb",1
"8/28/24","S2","human","S2_C","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_C","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_C","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_C","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_C","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_C","vachellia","melifera","ba",5
"8/28/24","S2","human","S2_C","vachellia","etbaica","sb",10
"8/28/24","S2","human","S2_C","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_C","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_C","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_B","vachellia","melifera","lb",15
"8/28/24","S2","human","S2_B","vachellia","etbaica","sb",7
"8/28/24","S2","human","S2_B","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_B","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_B","vachellia","melifera","sb",2
"8/28/24","S2","human","S2_A","vachellia","etbaica","sb",1
"8/28/24","S2","human","S2_A","vachellia","etbaica","sb",1
"10/14/24","N2","human","N2_A","vachellia","melifera","sb",10
"10/14/24","N2","human","N2_A","vachellia","etbaica","sb",1
"10/14/24","N2","human","N2_A","vachellia","melifera","sb",1
"10/14/24","N2","human","N2_A","vachellia","etbaica","sb",5
"10/14/24","N2","human","N2_A","vachellia","etbaica","sb",7
"10/14/24","N2","human","N2_A","vachellia","etbaica","sb",1
"10/14/24","N2","human","N2_A","vachellia","etbaica","sb",10
"10/14/24","N2","human","N2_B","vachellia","etbaica","sb",1
"10/14/24","N2","human","N2_B","vachellia","melifera","sb",2
"10/14/24","N2","human","N2_B","vachellia","etbaica","sb",1
"10/14/24","N2","human","N2_C","vachellia","etbaica","sb",2
"10/14/24","N2","human","N2_C","vachellia","etbaica","lb",1
"10/14/24","N2","human","N2_C","vachellia","melifera","sb",4
"10/14/24","N2","human","N2_C","vachellia","melifera","sb",2
"10/14/24","N2","human","N2_C","vachellia","melifera","sb",1
"10/14/24","N2","human","N2_C","vachellia","etbaica","sb",2
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","ba",80
"10/14/24","S2","control","S2_A","vachellia","etbaica","lb",75
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","lb",40
"10/14/24","S2","control","S2_A","vachellia","etbaica","ba",25
"10/14/24","S2","control","S2_A","vachellia","melifera","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","lb",10
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","lb",50
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",10
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",15
"10/14/24","S2","control","S2_A","vachellia","etbaica","lb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",2
"10/14/24","S2","control","S2_A","vachellia","melifera","sb",25
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",5
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","tortilis","sb",1
"10/14/24","S2","control","S2_A","vachellia","melifera","sb",5
"10/14/24","S2","control","S2_A","vachellia","melifera","sb",1
"10/14/24","S2","control","S2_A","vachellia","melifera","sb",2
"10/14/24","S2","control","S2_A","vachellia","melifera","sb",5
"10/14/24","S2","control","S2_A","vachellia","etbaica","lb",20
"10/14/24","S2","control","S2_A","vachellia","melifera","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",2
"10/14/24","S2","control","S2_A","vachellia","melifera","ba",45
"10/14/24","S2","control","S2_A","vachellia","melifera","lb",60
"10/14/24","S2","control","S2_A","vachellia","melifera","sb",4
"10/14/24","S2","control","S2_A","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_A","vachellia","etbaica","ba",40
"10/14/24","S2","control","S2_A","vachellia","etbaica","lb",20
"10/14/24","S2","control","S2_A","vachellia","melifera","sb",1
"10/14/24","S2","control","S2_A","vachellia","melifera","sb",1
"10/14/24","S2","control","S2_B","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_B","vachellia","etbaica","lb",70
"10/14/24","S2","control","S2_B","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_B","vachellia","melifera","sb",1
"10/14/24","S2","control","S2_B","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_B","vachellia","etbaica","lb",25
"10/14/24","S2","control","S2_C","vachellia","etbaica","lb",20
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",10
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","lb",5
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","melifera","wt",100
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",10
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",5
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","lb",40
"10/14/24","S2","control","S2_C","vachellia","melifera","lb",45
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",5
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",10
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","xanthophloea","lb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","lb",2
"10/14/24","S2","control","S2_C","vachellia","etbaica","lb",35
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",5
"10/14/24","S2","control","S2_C","vachellia","melifera","ba",5
"10/14/24","S2","control","S2_C","vachellia","etbaica","lb",55
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",10
"10/14/24","S2","control","S2_C","vachellia","etbaica","lb",10
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",15
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",5
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",5
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",15
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",2
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",5
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",5
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",10
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",1
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",1
"10/14/24","S2","control","S2_C","vachellia","melifera","ba",2
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",25
"10/14/24","S2","control","S2_C","vachellia","melifera","lb",25
"10/14/24","S2","control","S2_C","vachellia","melifera","lb",75
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",5
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",1
"10/14/24","S2","control","S2_C","vachellia","melifera","sb",1
"10/14/24","S2","control","S2_C","vachellia","etbaica","sb",2
